순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,부산광역시,해운대구,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,617936
2,부산광역시,강서구,김해국제공항,부산 강서구 공항진입로 108-0,기타관광,교통시설,529178
3,부산광역시,기장군,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,501028
4,부산광역시,부산진구,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,416799
5,부산광역시,강서구,김해공항국내선청사,부산 강서구 공항진입로 108-0,기타관광,교통시설,415863
6,부산광역시,기장군,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑,쇼핑몰,274971
7,부산광역시,수영구,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),259124
8,부산광역시,해운대구,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),246852
9,부산광역시,해운대구,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양),232262
10,부산광역시,기장군,해동용궁사,부산 기장군 용궁길 86-0,역사관광,종교성지,216821
11,부산광역시,중구,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑,백화점,209858
12,부산광역시,해운대구,벡스코제1전시장,부산 해운대구 APEC로 55-0,문화관광,전시시설,207165
13,부산광역시,수영구,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑,대형마트,200339
14,부산광역시,사상구,부산서부버스터미널,부산 사상구 사상로 201-0,기타관광,교통시설,187831
15,부산광역시,금정구,부산종합버스터미널,부산 금정구 중앙대로 2238-0,기타관광,교통시설,165924
16,부산광역시,부산진구,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑,백화점,159711
17,부산광역시,동구,부산역,부산 동구 중앙대로 206-0,기타관광,교통시설,157293
18,부산광역시,사하구,다대포해수욕장,부산 사하구 몰운대1길 14-0,자연관광,자연경관(하천/해양),137400
19,부산광역시,기장군,기장시장,부산 기장군 읍내로104번길 16-0,쇼핑,시장,125965
20,부산광역시,동래구,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑,백화점,125350
21,부산광역시,영도구,태종대,부산 영도구 전망로 24-0,역사관광,역사유적지,123983
22,부산광역시,해운대구,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,쇼핑,시장,122291
23,부산광역시,중구,국제시장,부산 중구 국제시장2길 25-0,쇼핑,시장,117721
24,부산광역시,강서구,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑,쇼핑몰,116991
25,부산광역시,서구,송도해수욕장,부산 서구,자연관광,자연경관(하천/해양),113539
26,부산광역시,중구,자갈치시장,부산 중구 자갈치해안로 52-0,쇼핑,시장,113420
27,부산광역시,기장군,롯데월드어드벤처부산,부산 기장군 동부산관광로 42-0,문화관광,테마공원,106244
28,부산광역시,해운대구,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,쇼핑,백화점,103164
29,부산광역시,북구,구포역,부산 북구 구포만세길 82-0,기타관광,교통시설,97388
30,부산광역시,동래구,메가마트동래점,부산 동래구 충렬대로 197-0,쇼핑,대형마트,92969
31,부산광역시,해운대구,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,쇼핑,백화점,85509
32,부산광역시,동래구,사직야구장,부산 동래구 사직로 45-0,문화관광,레저스포츠시설,84591
33,부산광역시,남구,신선대부두,부산 남구,자연관광,자연경관(하천/해양),83781
34,부산광역시,동구,부산진시장,부산 동구 진시장로 24-0,쇼핑,시장,82941
35,부산광역시,남구,이마트문현점,부산 남구 전포대로91번길 47-0,쇼핑,대형마트,78464
36,부산광역시,금정구,범어사,부산 금정구 범어사로 250-0,역사관광,종교성지,77718
37,부산광역시,부산진구,부산시민공원,부산 부산진구 시민공원로 73-0,문화관광,도시공원,77316
38,부산광역시,해운대구,이마트해운대점,부산 해운대구 좌동순환로 511-0,쇼핑,대형마트,76775
39,부산광역시,사상구,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,쇼핑,시장,76247
40,부산광역시,동구,현대백화점부산점,부산 동구 범일로 125-0,쇼핑,백화점,75902
41,부산광역시,동래구,허심청,부산 동래구 온천장로107번길 32-0,체험관광,웰니스관광,75788
42,부산광역시,북구,롯데마트화명점,부산 북구 화명대로 47-0,쇼핑,대형마트,74668
43,부산광역시,연제구,홈플러스아시아드점,부산 연제구 종합운동장로 7-0,쇼핑,대형마트,73102
