순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,대전광역시,동구,대전역,대전 동구 중앙로 215-0,기타관광,교통시설,629559
2,대전광역시,유성구,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,쇼핑,백화점,540225
3,대전광역시,서구,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,쇼핑,백화점,257641
4,대전광역시,동구,대전복합터미널서관,대전 동구 동서대로 1689-0,기타관광,교통시설,231233
5,대전광역시,서구,롯데백화점대전점,대전 서구 계룡로 598-0,쇼핑,백화점,166797
6,대전광역시,유성구,NC백화점대전유성점,대전 유성구 계룡로 119-0,쇼핑,백화점,114707
7,대전광역시,중구,서대전역,대전 중구 오류로 23-0,기타관광,교통시설,114613
8,대전광역시,유성구,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑,쇼핑몰,114258
9,대전광역시,중구,코스트코홀세일대전점,대전 중구 오류로 41-0,쇼핑,대형마트,112420
10,대전광역시,중구,대전오월드,대전 중구 사정공원로 70-0,문화관광,테마공원,103083
11,대전광역시,서구,이마트둔산점,대전 서구 둔산북로 41-0,쇼핑,대형마트,98809
12,대전광역시,대덕구,오정농수산물도매시장,대전 대덕구 한밭대로 987-0,쇼핑,시장,98569
13,대전광역시,유성구,대전월드컵경기장,대전 유성구 월드컵대로 32-0,문화관광,레저스포츠시설,97141
14,대전광역시,유성구,홈플러스유성점,대전 유성구 한밭대로 502-0,쇼핑,대형마트,94669
15,대전광역시,대덕구,신탄진역,대전 대덕구,기타관광,교통시설,78931
16,대전광역시,서구,트레이더스 홀세일 클럽월평점,대전 서구 한밭대로 580-0,쇼핑,대형마트,75622
17,대전광역시,서구,한밭수목원,대전 서구 둔산대로 169-0,자연관광,자연공원,72379
18,대전광역시,유성구,모다아울렛대전점,대전 유성구 대정로 5-0,쇼핑,쇼핑몰,70496
19,대전광역시,유성구,노은농수산물도매시장,대전 유성구 노은동로 33-0,쇼핑,시장,70371
20,대전광역시,서구,장태산자연휴양림,대전 서구 장안로 461-0,자연관광,자연공원,64397
21,대전광역시,중구,한화생명이글스파크,대전 중구 대종로 373-0,문화관광,레저스포츠시설,58547
22,대전광역시,유성구,자운대쇼핑타운,대전 유성구 자운로97번길 410-0,쇼핑,쇼핑몰,54020
23,대전광역시,유성구,국립중앙과학관,대전 유성구 대덕대로 481-0,문화관광,전시시설,53879
24,대전광역시,중구,우리들공원,대전 중구 중앙로138번길 30-0,문화관광,도시공원,53196
25,대전광역시,유성구,엑스포코아,대전 유성구 엑스포로 488-0,쇼핑,쇼핑몰,51431
26,대전광역시,동구,이마트대전터미널점,대전 동구 동서대로 1689-0,쇼핑,대형마트,51230
27,대전광역시,유성구,대전컨벤션센터제1전시장,대전 유성구 엑스포로 107-0,문화관광,전시시설,47949
28,대전광역시,유성구,롯데마트대덕점,대전 유성구 테크노중앙로 14-0,쇼핑,대형마트,45360
29,대전광역시,동구,홈플러스대전가오점,대전 동구 은어송로 72-0,쇼핑,대형마트,44634
30,대전광역시,동구,대전중앙시장,대전 동구 대전로785번길 26-0,쇼핑,시장,42978
31,대전광역시,유성구,유성시외버스정류소,대전 유성구 유성대로 699-0,기타관광,교통시설,40176
32,대전광역시,동구,대전복합터미널동관,대전 동구 동서대로1695번길 30-0,기타관광,교통시설,37466
33,대전광역시,서구,이마트트레이더스월평점,대전 서구 한밭대로 580-0,쇼핑,대형마트,36904
34,대전광역시,서구,세이브존대전점,대전 서구 둔산로 201-0,쇼핑,대형마트,33661
35,대전광역시,유성구,유성금호고속버스터미널,대전 유성구 장대로 54-0,기타관광,교통시설,33359
36,대전광역시,유성구,대전컨벤션센터제2전시장,대전 유성구 엑스포로 87-0,문화관광,전시시설,33136
37,대전광역시,중구,세이백화점본점,대전 중구 계백로 1700-0,쇼핑,백화점,31162
38,대전광역시,동구,대전역동광장,대전 동구 새둑길 143-0,기타관광,기타관광,28027
39,대전광역시,유성구,롯데마트노은점,대전 유성구 북유성대로 206-0,쇼핑,대형마트,27761
40,대전광역시,서구,한민시장,대전 서구 도솔로308번길 27-0,쇼핑,시장,27325
41,대전광역시,중구,대전아쿠아리움,대전 중구 보문산공원로 469-0,문화관광,테마공원,26504
42,대전광역시,유성구,자운대체력단련장,대전 유성구 자운로 272-83,레저스포츠,육상레저스포츠,25404
43,대전광역시,유성구,대전신세계Art&Science,대전 유성구 엑스포로 1-0,문화관광,복합관광시설,23901
44,대전광역시,서구,도마큰시장,대전 서구 도마4길 64-0,쇼핑,시장,23232
45,대전광역시,유성구,롯데마트서대전점,대전 유성구 유성대로 26-37,쇼핑,대형마트,23224
46,대전광역시,중구,홈플러스문화점,대전 중구 계백로 1690-0,쇼핑,대형마트,23153
47,대전광역시,중구,NC백화점중앙로역점,대전 중구 중앙로 141-0,쇼핑,백화점,23135
48,대전광역시,서구,샤크존,대전 서구 둔산중로 19-0,쇼핑,쇼핑몰,22947
49,대전광역시,서구,롯데시네마대전둔산,대전 서구 대덕대로 325-0,문화관광,공연시설,22482
50,대전광역시,서구,로데오타운,대전 서구 문정로 77-0,쇼핑,쇼핑몰,22432
51,대전광역시,동구,해돋이전망대,대전 동구,문화관광,랜드마크관광,22429
52,대전광역시,동구,만인산자연휴양림,대전 동구 산내로 106-0,자연관광,자연공원,21142
53,대전광역시,유성구,한미르대덕CC,대전 유성구 테크노중앙로 210-0,레저스포츠,육상레저스포츠,19687
54,대전광역시,서구,롯데시네마대전관저,대전 서구 봉우로8번길 23-0,문화관광,공연시설,19248
55,대전광역시,대덕구,계족산황톳길,대전 대덕구 산디로 79-70,레저스포츠,기타레저스포츠,18119
56,대전광역시,중구,하나로마트대전점,대전 중구 대둔산로199번길 43-0,쇼핑,대형마트,17850
57,대전광역시,서구,CGV대전가수원,대전 서구 도안동로11번길 45-0,문화관광,공연시설,17359
58,대전광역시,대덕구,중리전통시장,대전 대덕구 중리북로37번길 11-0,쇼핑,시장,17190
59,대전광역시,서구,롯데시네마대전센트럴,대전 서구 대덕대로 216-0,문화관광,공연시설,16566
60,대전광역시,대덕구,신탄진역,대전 대덕구 신탄진로 807-0,기타관광,교통시설,15933
61,대전광역시,유성구,사이언스대덕골프장,대전 유성구 유성대로1689번길 69-0,레저스포츠,육상레저스포츠,15737
62,대전광역시,유성구,유성CC,대전 유성구 현충원로 200-0,레저스포츠,육상레저스포츠,15590
63,대전광역시,유성구,유림공원,대전 유성구 어은로 27-0,문화관광,도시공원,15506
64,대전광역시,서구,CGV대전탄방,대전 서구 문정로 85-0,문화관광,공연시설,15289
65,대전광역시,서구,대전시립미술관,대전 서구 둔산대로 155-0,문화관광,전시시설,14762
66,대전광역시,서구,남선공원,대전 서구 남선로 66-0,문화관광,도시공원,14668
67,대전광역시,서구,엑스포시민광장,대전 서구 둔산대로 169-0,문화관광,도시공원,14515
