순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,경상북도,경주시,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,259091
2,경상북도,포항시 북구,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,220257
3,경상북도,김천시,김천구미역,경북 김천시 혁신1로 51-0,기타관광,교통시설,204210
4,경상북도,포항시 북구,포항역,경북 포항시 북구 포항역로 1-0,기타관광,교통시설,187825
5,경상북도,경주시,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,182764
6,경상북도,경주시,신경주역,경북 경주시 경주역로 80-0,기타관광,교통시설,181186
7,경상북도,경주시,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,175357
8,경상북도,구미시,구미역,경북 구미시 구미중앙로 76-0,기타관광,교통시설,161786
9,경상북도,포항시 북구,환호공원스페이스워크,경북 포항시 북구,레저스포츠,기타레저스포츠,142364
10,경상북도,경주시,보문관광단지,경북 경주시 보문로 424-33,문화관광,복합관광시설,130351
11,경상북도,경주시,경주월드,경북 경주시 보문로 544-0,문화관광,테마공원,123027
12,경상북도,경주시,대릉원,경북 경주시 계림로 9-0,역사관광,역사유적지,122814
13,경상북도,포항시 남구,포항시외버스터미널,경북 포항시 남구 중흥로 85-0,기타관광,교통시설,122694
14,경상북도,경주시,국립경주박물관,경북 경주시 일정로 186-0,문화관광,전시시설,114770
15,경상북도,경주시,경주시외버스터미널,경북 경주시 강변로 184-0,기타관광,교통시설,108635
16,경상북도,경주시,석굴암,경북 경주시 석굴로 238-0,역사관광,역사유적지,108393
17,경상북도,안동시,안동하회마을,경북 안동시 하회종가길 2-1,역사관광,역사유적지,98705
18,경상북도,포항시 북구,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),95742
19,경상북도,경주시,문무대왕릉,경북 경주시,역사관광,역사유적지,87983
20,경상북도,영덕군,강구항,경북 영덕군,자연관광,자연경관(하천/해양),82436
21,경상북도,문경시,문경새재,경북 문경시 새재로 932-0,역사관광,역사유적지,78416
22,경상북도,울진군,후포항,경북 울진군 울진대게로 236-14,자연관광,자연경관(하천/해양),75988
23,경상북도,영주시,영주역,경북 영주시 선비로 64-0,기타관광,교통시설,70655
24,경상북도,안동시,월영교,경북 안동시,기타관광,기타관광,69924
25,경상북도,김천시,김천역,경북 김천시 김천로 111-0,기타관광,교통시설,67922
26,경상북도,칠곡군,왜관역,경북 칠곡군 중앙로8길 10-0,기타관광,교통시설,65964
27,경상북도,청도군,운문사,경북 청도군 운문사길 264-0,역사관광,종교성지,64621
28,경상북도,구미시,구미종합버스터미널,경북 구미시 송원동로 72-0,기타관광,교통시설,64513
29,경상북도,김천시,직지사,경북 김천시 직지사길 95-0,역사관광,종교성지,63030
30,경상북도,영주시,부석사,경북 영주시 부석사로 345-0,역사관광,종교성지,60666
31,경상북도,경산시,경산역,경북 경산시 중앙로 1-0,기타관광,교통시설,56867
32,경상북도,포항시 남구,구룡포항,경북 포항시 남구 호미로 222-1,자연관광,자연경관(하천/해양),56401
33,경상북도,포항시 북구,롯데백화점포항점,경북 포항시 북구 학산로 62-0,쇼핑,백화점,56157
34,경상북도,안동시,안동구시장,경북 안동시 번영1길 47-0,쇼핑,시장,55700
35,경상북도,안동시,안동역,경북 안동시 경동로 122-16,기타관광,교통시설,54171
36,경상북도,안동시,안동터미널,경북 안동시 경동로 130-0,기타관광,교통시설,51790
37,경상북도,울진군,죽변해안스카이레일죽변승하차장,경북 울진군 죽변중앙로 235-12,레저스포츠,기타레저스포츠,49805
38,경상북도,포항시 남구,구룡포일본인가옥거리,경북 포항시 남구 구룡포길 0-0,문화관광,테마공원,48173
39,경상북도,청도군,청도역,경북 청도군 청화로 214-0,기타관광,교통시설,44720
40,경상북도,울진군,덕구온천스파월드,경북 울진군 덕구온천로 924-0,체험관광,웰니스관광,44513
41,경상북도,경주시,경주엑스포대공원,경북 경주시 경감로 614-0,문화관광,도시공원,44038
42,경상북도,경산시,하양역,경북 경산시 하양역길 1-0,기타관광,교통시설,43148
43,경상북도,상주시,상주종합버스터미널,경북 상주시 삼백로 71-0,기타관광,교통시설,42403
44,경상북도,경주시,경주중앙시장,경북 경주시 금성로 295-0,쇼핑,시장,40696
45,경상북도,경산시,인터불고경산CC,경북 경산시 삼성현로 614-26,레저스포츠,육상레저스포츠,40025
46,경상북도,경산시,대구CC,경북 경산시 일연로 718-42,레저스포츠,육상레저스포츠,39926
47,경상북도,구미시,금오산,경북 구미시,자연관광,자연경관(산),38102
48,경상북도,울진군,죽변항,경북 울진군,자연관광,자연경관(하천/해양),37957
49,경상북도,경산시,갓바위,경북 경산시 갓바위로 681-55,역사관광,역사유적지,37895
50,경상북도,포항시 북구,보경사,경북 포항시 북구 보경로 523-0,역사관광,종교성지,37867
51,경상북도,문경시,점촌시외고속터미널,경북 문경시 모전로 54-0,기타관광,교통시설,35261
52,경상북도,안동시,도산서원,경북 안동시 도산서원길 154-0,역사관광,역사유적지,35085
53,경상북도,포항시 북구,환호공원,경북 포항시 북구,문화관광,도시공원,34760
54,경상북도,경주시,모다아울렛경주포항점,경북 경주시 산업로 4930-0,쇼핑,쇼핑몰,34628
55,경상북도,영덕군,영덕해맞이공원,경북 영덕군,문화관광,도시공원,34535
56,경상북도,경주시,경주CC,경북 경주시 보문로 182-98,레저스포츠,육상레저스포츠,33825
57,경상북도,영천시,오션힐스영천CC,경북 영천시 방목길 34-2,레저스포츠,육상레저스포츠,33492
58,경상북도,청도군,그레이스CC,경북 청도군 서녁길 91-0,레저스포츠,육상레저스포츠,33347
59,경상북도,포항시 남구,포항경주공항,경북 포항시 남구 일월로 18-0,기타관광,교통시설,33300
60,경상북도,청도군,와인터널,경북 청도군 송금길 100-0,기타관광,기타관광,31675
61,경상북도,구미시,동락공원,경북 구미시 3공단1로 191-0,문화관광,도시공원,31107
62,경상북도,포항시 북구,죽도어시장,경북 포항시 북구 죽도시장13길 13-0,쇼핑,시장,30130
63,경상북도,경주시,루나엑스CC,경북 경주시 천강로 412-299,레저스포츠,육상레저스포츠,30008
64,경상북도,문경시,문경종합온천,경북 문경시 온천2길 24-0,체험관광,웰니스관광,29675
65,경상북도,청송군,주산지,경북 청송군,자연관광,자연경관(하천/해양),29542
66,경상북도,포항시 북구,해상스카이워크,경북 포항시 북구 해안로 523-0,기타관광,기타관광,29433
67,경상북도,영천시,오펠GC,경북 영천시 호국로 1221-24,레저스포츠,육상레저스포츠,29192
68,경상북도,영천시,영천공설시장,경북 영천시 시장4길 38-0,쇼핑,시장,28674
69,경상북도,문경시,문경에코월드,경북 문경시 왕능길 114-0,문화관광,테마공원,28438
70,경상북도,김천시,김천포도CC,경북 김천시 남김천대로 2532-0,레저스포츠,육상레저스포츠,27984
71,경상북도,영천시,영천역,경북 영천시 금완로 98-0,기타관광,교통시설,27267
72,경상북도,청도군,오션힐스청도GC,경북 청도군 곰티로 370-204,레저스포츠,육상레저스포츠,27108
73,경상북도,영주시,풍기역,경북 영주시 인삼로 1-0,기타관광,교통시설,27073
74,경상북도,청도군,청도용암웰빙스파,경북 청도군 온천길 23-0,체험관광,웰니스관광,26828
75,경상북도,의성군,엠스클럽의성CC,경북 의성군 농공마전길 125-78,레저스포츠,육상레저스포츠,26704
76,경상북도,칠곡군,파미힐스CC,경북 칠곡군 봉계로 263-0,레저스포츠,육상레저스포츠,26503
77,경상북도,경주시,블루원워터파크,경북 경주시 천군로 95-32,문화관광,테마공원,26193
78,경상북도,고령군,고령오펠GC,경북 고령군 벌지로 175-115,레저스포츠,육상레저스포츠,25785
79,경상북도,경주시,블루원디아너스CC,경북 경주시 보불로 391-0,레저스포츠,육상레저스포츠,25322
80,경상북도,경주시,서라벌CC,경북 경주시 내외로 577-189,레저스포츠,육상레저스포츠,25111
81,경상북도,영덕군,오션비치골프&리조트,경북 영덕군 동해대로 4265-43,레저스포츠,육상레저스포츠,25096
82,경상북도,경주시,마우나오션CC,경북 경주시 동남로 982-0,레저스포츠,육상레저스포츠,24759
83,경상북도,포항시 남구,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,기타관광,교통시설,24660
84,경상북도,경주시,송대말등대,경북 경주시 감포로 226-19,문화관광,랜드마크관광,24475
85,경상북도,포항시 북구,영일만항,경북 포항시 북구 영일만항로 112-0,자연관광,자연경관(하천/해양),24245
86,경상북도,칠곡군,세븐밸리CC,경북 칠곡군 봉계3길 180-0,레저스포츠,육상레저스포츠,24244
87,경상북도,경산시,경산공설시장,경북 경산시 경안로31길 19-0,쇼핑,시장,24062
88,경상북도,영천시,은해사,경북 영천시 청통로 951-0,역사관광,종교성지,23838
89,경상북도,경주시,경주양남주상절리,경북 경주시,기타관광,기타관광,23748
90,경상북도,경주시,감포항,경북 경주시 감포로 166-0,자연관광,자연경관(하천/해양),23629
91,경상북도,의성군,파라지오CC,경북 의성군 농공마전길 167-0,레저스포츠,육상레저스포츠,23600
92,경상북도,경주시,골프존카운티감포,경북 경주시 동해안로 1819-59,레저스포츠,육상레저스포츠,23277
93,경상북도,영천시,보현산댐출렁다리,경북 영천시,기타관광,기타관광,23184
94,경상북도,포항시 북구,이가리닻전망대,경북 포항시 북구,문화관광,랜드마크관광,23079
95,경상북도,경주시,황성공원,경북 경주시 알천북로 115-0,문화관광,도시공원,22995
96,경상북도,경주시,경북천년숲정원,경북 경주시 통일로 367-0,기타관광,기타관광,22755
97,경상북도,포항시 남구,구룡포시장,경북 포항시 남구 호미로221번길 14-1,쇼핑,시장,22735
98,경상북도,구미시,구미CC,경북 구미시 송백로 229-0,레저스포츠,육상레저스포츠,22719
99,경상북도,경주시,감포선착장,경북 경주시 감포로2길 103-1,기타관광,교통시설,22506
100,경상북도,포항시 북구,오션힐스포항CC,경북 포항시 북구 대전길 7-0,레저스포츠,육상레저스포츠,22371
101,경상북도,경산시,삼성현역사문화공원,경북 경산시 삼성현공원로 59-0,문화관광,도시공원,22359
102,경상북도,안동시,낙강물길공원,경북 안동시,문화관광,도시공원,21966
103,경상북도,경주시,추억의달동네,경북 경주시 보불로 216-8,문화관광,전시시설,21901
104,경상북도,상주시,블루원상주골프리조트,경북 상주시 화현3길 127-0,레저스포츠,육상레저스포츠,21802
105,경상북도,울진군,후포여객선터미널,경북 울진군 울진대게로 236-14,기타관광,교통시설,21536
106,경상북도,포항시 북구,칠포해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),21362
107,경상북도,구미시,구미낙동강체육공원,경북 구미시,문화관광,도시공원,21160
108,경상북도,경주시,정글의법칙미디어파크,경북 경주시 보문로 465-67,문화관광,테마공원,21146
109,경상북도,울진군,국립해양과학관,경북 울진군 해양과학길 8-0,문화관광,전시시설,20961
110,경상북도,포항시 남구,연오랑세오녀테마공원,경북 포항시 남구 호미로 3012-0,문화관광,도시공원,20833
111,경상북도,경주시,경주루지월드,경북 경주시 천북남로 16-0,레저스포츠,기타레저스포츠,20704
112,경상북도,영주시,소수서원,경북 영주시 소백로 2740-0,역사관광,역사유적지,20221
113,경상북도,포항시 북구,화진해수욕장,경북 포항시 북구 동해대로3218번길 34-0,자연관광,자연경관(하천/해양),20073
114,경상북도,경주시,경주화백컨벤션센터,경북 경주시 보문로 507-0,문화관광,전시시설,19951
115,경상북도,구미시,골프존카운티선산,경북 구미시 강동로 953-74,레저스포츠,육상레저스포츠,19919
116,경상북도,포항시 남구,송도해수욕장,경북 포항시 남구,자연관광,자연경관(하천/해양),19842
117,경상북도,경주시,보문GC,경북 경주시 보문로 182-14,레저스포츠,육상레저스포츠,19733
118,경상북도,구미시,박정희대통령생가,경북 구미시 박정희로 107-0,역사관광,역사유적지,19662
119,경상북도,경주시,경주신라CC,경북 경주시 보문로 319-0,레저스포츠,육상레저스포츠,19517
120,경상북도,포항시 남구,구룡포해수욕장,경북 포항시 남구 호미로 420-7,자연관광,자연경관(하천/해양),19062
121,경상북도,구미시,구미코,경북 구미시 첨단기업1로 49-0,문화관광,전시시설,19045
122,경상북도,경주시,경주동궁원,경북 경주시 보문로 74-14,문화관광,복합관광시설,19019
123,경상북도,경주시,천마총,경북 경주시,역사관광,역사유적지,18956
124,경상북도,문경시,점촌역,경북 문경시,기타관광,교통시설,18770
125,경상북도,영천시,골프존카운티청통,경북 영천시 청통로 733-0,레저스포츠,육상레저스포츠,18628
126,경상북도,영덕군,고래불해수욕장,경북 영덕군,자연관광,자연경관(하천/해양),18359
127,경상북도,경주시,캘리포니아비치,경북 경주시 보문로 544-0,문화관광,테마공원,18222
128,경상북도,울진군,성류굴,경북 울진군,자연관광,자연생태,18130
129,경상북도,문경시,문경GC,경북 문경시 문경골프장길 240-0,레저스포츠,육상레저스포츠,18003
130,경상북도,울진군,백암온천,경북 울진군,체험관광,웰니스관광,17959
131,경상북도,청도군,사리암,경북 청도군 운문사길 529-0,역사관광,종교성지,17929
132,경상북도,포항시 북구,CGV북포항,경북 포항시 북구 서동로 93-0,문화관광,공연시설,17848
133,경상북도,경주시,경주버드파크,경북 경주시 보문로 74-14,문화관광,복합관광시설,17508
134,경상북도,영주시,영주종합버스터미널,경북 영주시 대학로 352-0,기타관광,교통시설,17447
135,경상북도,영천시,만불사,경북 영천시 내서로 139-17,역사관광,종교성지,17275
136,경상북도,경산시,CGV경산,경북 경산시 대학로28길 6-5,문화관광,공연시설,17194
137,경상북도,포항시 북구,월포해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),17139
138,경상북도,경주시,분황사,경북 경주시 분황로 94-11,역사관광,종교성지,17126
139,경상북도,구미시,도리사,경북 구미시 도리사로 526-0,역사관광,종교성지,17102
140,경상북도,경주시,감포해변,경북 경주시,자연관광,자연경관(하천/해양),17082
141,경상북도,칠곡군,칠곡보생태공원,경북 칠곡군,문화관광,도시공원,17045
142,경상북도,영덕군,장사해수욕장,경북 영덕군,자연관광,자연경관(하천/해양),17034
143,경상북도,구미시,골프존카운티구미,경북 구미시 강동로 953-74,레저스포츠,육상레저스포츠,16974
144,경상북도,포항시 북구,롯데시네마포항,경북 포항시 북구 중앙상가길 16-0,문화관광,공연시설,16955
145,경상북도,구미시,선산봉황시장,경북 구미시 남문로 19-26,쇼핑,시장,16636
146,경상북도,포항시 북구,포항CC,경북 포항시 북구 동해대로2751번길 126-0,레저스포츠,육상레저스포츠,16309
147,경상북도,경산시,천마아트센터,경북 경산시 대학로 280-0,문화관광,공연시설,15957
148,경상북도,경주시,MCY PARK,경북 경주시 천북남로 196-0,문화관광,테마공원,15923
149,경상북도,안동시,중앙신시장,경북 안동시 대안로 98-10,쇼핑,시장,15704
150,경상북도,울진군,등기산스카이워크,경북 울진군,기타관광,기타관광,15691
151,경상북도,안동시,만휴정,경북 안동시 묵계하리길 42-0,역사관광,역사유적지,15671
152,경상북도,안동시,병산서원,경북 안동시 병산길 386-0,역사관광,역사유적지,15665
153,경상북도,예천군,한맥CC,경북 예천군 한맥골프장길 72-0,레저스포츠,육상레저스포츠,15658
154,경상북도,청송군,청송얼음골,경북 청송군 팔각산로 228-0,자연관광,자연경관(산),15486
155,경상북도,경주시,월정교,경북 경주시,역사관광,역사유적지,15444
156,경상북도,포항시 남구,오어사,경북 포항시 남구 오어로 1-0,역사관광,종교성지,15085
157,경상북도,고령군,마스터피스CC,경북 고령군 산막길 47-80,레저스포츠,육상레저스포츠,15067
158,경상북도,안동시,봉정사,경북 안동시 봉정사길 222-0,역사관광,종교성지,15023
159,경상북도,청도군,운문댐하류보유원지,경북 청도군,문화관광,복합관광시설,14975
160,경상북도,영덕군,축산항,경북 영덕군,자연관광,자연경관(하천/해양),14968
