순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,광주광역시,서구,유스퀘어 광주종합버스터미널,광주 서구 무진대로 904-0,기타관광,교통시설,287101
2,광주광역시,서구,신세계백화점광주점,광주 서구 무진대로 932-0,쇼핑,백화점,160462
3,광주광역시,광산구,광주공항,광주 광산구 상무대로 420-25,기타관광,교통시설,131324
4,광주광역시,광산구,광주송정역,광주 광산구 상무대로 201-0,기타관광,교통시설,116205
5,광주광역시,동구,롯데백화점광주점,광주 동구 독립로 268-0,쇼핑,백화점,102745
6,광주광역시,광산구,롯데아울렛광주수완점,광주 광산구 장신로 98-0,쇼핑,쇼핑몰,99820
7,광주광역시,서구,김대중컨벤션센터,광주 서구 상무누리로 30-0,문화관광,전시시설,99202
8,광주광역시,동구,국립아시아문화전당,광주 동구 문화전당로 38-0,문화관광,전시시설,80500
9,광주광역시,서구,이마트광주점,광주 서구 죽봉대로 61-0,쇼핑,대형마트,67468
10,광주광역시,동구,NC웨이브충장점,광주 동구 중앙로 163-0,쇼핑,백화점,60863
11,광주광역시,서구,서부농수산물도매시장,광주 서구 매월2로 16-0,쇼핑,시장,54590
12,광주광역시,서구,광주양동시장,광주 서구 천변좌로 238-0,쇼핑,시장,52912
13,광주광역시,북구,광주역,광주 북구 무등로 235-0,기타관광,교통시설,52216
14,광주광역시,광산구,롯데마트첨단점,광주 광산구 첨단강변로99번길 22-0,쇼핑,대형마트,51665
15,광주광역시,서구,세정아울렛,광주 서구 상무대로 773-0,쇼핑,쇼핑몰,51285
16,광주광역시,북구,광주기아챔피언스필드,광주 북구 서림로 10-0,문화관광,레저스포츠시설,51047
17,광주광역시,북구,홈플러스동광주점,광주 북구 동문대로 200-0,쇼핑,대형마트,49004
18,광주광역시,남구,이마트봉선점,광주 남구 봉선로 198-0,쇼핑,대형마트,48513
19,광주광역시,서구,롯데마트맥스상무점,광주 서구 시청로 40-0,쇼핑,대형마트,44021
20,광주광역시,광산구,이마트광산점,광주 광산구 사암로 172-0,쇼핑,대형마트,40666
21,광주광역시,서구,롯데아울렛광주월드컵점,광주 서구 금화로 240-0,쇼핑,쇼핑몰,40493
22,광주광역시,북구,광주패밀리랜드,광주 북구 우치로 677-0,문화관광,테마공원,40357
23,광주광역시,서구,롯데마트월드컵점,광주 서구 금화로 240-0,쇼핑,대형마트,39213
24,광주광역시,북구,광주각화농산물도매시장,광주 북구 동문대로 260-0,쇼핑,시장,38070
25,광주광역시,광산구,롯데마트수완점,광주 광산구 장신로 98-0,쇼핑,대형마트,35550
26,광주광역시,광산구,홈플러스광주하남점,광주 광산구 용아로 390-0,쇼핑,대형마트,33093
27,광주광역시,광산구,메가박스광주하남,광주 광산구 풍영철길로 15-0,문화관광,공연시설,32492
28,광주광역시,북구,국립광주과학관,광주 북구 첨단과기로 235-0,문화관광,전시시설,31672
