순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,대구광역시,동구,동대구역,대구 동구 동대구로 550-0,기타관광,교통시설,511693
2,대구광역시,동구,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,499709
3,대구광역시,동구,대구국제공항,대구 동구 공항로 221-0,기타관광,교통시설,208556
4,대구광역시,중구,서문시장,대구 중구 큰장로26길 45-0,쇼핑,시장,187986
5,대구광역시,중구,더현대대구,대구 중구 달구벌대로 2077-0,쇼핑,백화점,183927
6,대구광역시,북구,코스트코홀세일대구점,대구 북구 검단로 97-0,쇼핑,대형마트,154192
7,대구광역시,동구,코스트코홀세일대구혁신도시점,대구 동구 첨단로 10-0,쇼핑,대형마트,149282
8,대구광역시,북구,EXCO서관,대구 북구 엑스코로 10-0,문화관광,전시시설,140298
9,대구광역시,수성구,수성못,대구 수성구,자연관광,자연경관(하천/해양),126660
10,대구광역시,동구,롯데아울렛이시아폴리스점,대구 동구 팔공로49길 16-0,쇼핑,쇼핑몰,121417
11,대구광역시,달서구,이월드,대구 달서구 두류공원로 200-0,문화관광,테마공원,115898
12,대구광역시,달서구,홈플러스성서점,대구 달서구 달구벌대로 1467-0,쇼핑,대형마트,96746
13,대구광역시,북구,롯데백화점대구점,대구 북구 태평로 161-0,쇼핑,백화점,94202
14,대구광역시,달성군,옥연지송해공원,대구 달성군,문화관광,도시공원,93508
15,대구광역시,북구,대구농수산물도매시장,대구 북구 매천로18길 34-0,쇼핑,시장,90762
16,대구광역시,북구,이마트칠성점,대구 북구 침산로 93-0,쇼핑,대형마트,90190
17,대구광역시,달서구,이마트월배점,대구 달서구 진천로 92-0,쇼핑,대형마트,88761
18,대구광역시,달서구,모다아울렛대구점,대구 달서구 달서대로 411-0,쇼핑,쇼핑몰,80377
19,대구광역시,수성구,이마트만촌점,대구 수성구 동원로 136-0,쇼핑,대형마트,79729
20,대구광역시,달서구,대구수목원,대구 달서구 화암로 342-0,자연관광,자연공원,71624
21,대구광역시,달서구,롯데백화점상인점,대구 달서구 월배로 232-0,쇼핑,백화점,69465
