순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,세종특별자치시,세종특별자치시,코스트코홀세일세종점,세종시 종합운동장1로 14-0,쇼핑,대형마트,250438
2,세종특별자치시,세종특별자치시,조치원역,세종시 으뜸길 215-0,기타관광,교통시설,163765
3,세종특별자치시,세종특별자치시,세종호수공원,세종시,문화관광,도시공원,81633
4,세종특별자치시,세종특별자치시,홈플러스세종점,세종시 절재로 154-0,쇼핑,대형마트,76507
5,세종특별자치시,세종특별자치시,국립세종수목원,세종시 수목원로 136-0,문화관광,테마공원,67970
6,세종특별자치시,세종특별자치시,세종고속시외버스터미널,세종시 갈매로 37-12,기타관광,교통시설,64383
7,세종특별자치시,세종특별자치시,세종에머슨CC,세종시 운주산로 1510-0,레저스포츠,육상레저스포츠,51787
8,세종특별자치시,세종특별자치시,레이캐슬CC,세종시 의당전의로 252-0,레저스포츠,육상레저스포츠,41181
9,세종특별자치시,세종특별자치시,부강역,세종시 청연로 90-0,기타관광,교통시설,38881
10,세종특별자치시,세종특별자치시,CGV세종,세종시 도움1로 108-0,문화관광,공연시설,36559
11,세종특별자치시,세종특별자치시,세종전통시장,세종시 조치원8길 42-0,쇼핑,시장,35405
12,세종특별자치시,세종특별자치시,고복저수지,세종시,자연관광,자연경관(하천/해양),35226
13,세종특별자치시,세종특별자치시,메가박스세종나성,세종시 나성로 38-0,문화관광,공연시설,32015
14,세종특별자치시,세종특별자치시,베어트리파크,세종시 신송로 217-0,문화관광,테마공원,31107
15,세종특별자치시,세종특별자치시,금강보행교,세종시,기타관광,기타관광,26040
16,세종특별자치시,세종특별자치시,홈플러스조치원점,세종시 허만석로 60-0,쇼핑,대형마트,22708
17,세종특별자치시,세종특별자치시,세종필드GC,세종시 정안세종로 1569-0,레저스포츠,육상레저스포츠,22096
18,세종특별자치시,세종특별자치시,전의역,세종시 만세길 10-0,기타관광,교통시설,17696
19,세종특별자치시,세종특별자치시,세종예술의전당,세종시 국립박물관로 21-0,문화관광,공연시설,17334
20,세종특별자치시,세종특별자치시,대평시장,세종시 대평시장1길 12-0,쇼핑,시장,14797
21,세종특별자치시,세종특별자치시,영평사,세종시 영평사길 124-0,역사관광,종교성지,12400
22,세종특별자치시,세종특별자치시,금강수목원,세종시,자연관광,자연공원,11886
23,세종특별자치시,세종특별자치시,대통령기록관,세종시 다솜로 250-0,문화관광,전시시설,11649
24,세종특별자치시,세종특별자치시,뽀로로파크세종점,세종시 갈매로 353-0,문화관광,테마공원,10287
25,세종특별자치시,세종특별자치시,어반아트리움더센트럴,세종시 나성로 96-0,쇼핑,쇼핑몰,8899
26,세종특별자치시,세종특별자치시,다정동복합커뮤니티센터,세종시 다정남3로 10-0,문화관광,기타문화관광지,8605
27,세종특별자치시,세종특별자치시,비오케이아트센터,세종시 국책연구원3로 12-0,문화관광,기타문화관광지,8219
28,세종특별자치시,세종특별자치시,세종전통장류박물관,세종시 배일길 90-43,문화관광,전시시설,7033
29,세종특별자치시,세종특별자치시,금강자연휴양림,세종시 도남2길 47-0,자연관광,자연공원,7001
30,세종특별자치시,세종특별자치시,도도리파크,세종시 장등고개길 38-1,기타관광,기타관광,6680
