순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,울산광역시,울주군,울산역,울산 울주군 울산역로 177-0,기타관광,교통시설,434062
2,울산광역시,남구,현대백화점울산점,울산 남구 삼산로 261-0,쇼핑,백화점,112495
3,울산광역시,북구,코스트코홀세일울산점,울산 북구 진장유통로 78-12,쇼핑,대형마트,107907
4,울산광역시,울주군,간절곶,울산 울주군,기타관광,기타관광,107552
5,울산광역시,남구,롯데백화점울산점,울산 남구 삼산로 288-0,쇼핑,백화점,96867
6,울산광역시,동구,대왕암공원,울산 동구 등대로 95-0,문화관광,도시공원,81537
7,울산광역시,남구,울산대공원,울산 남구 대공원로 94-0,문화관광,테마공원,79680
8,울산광역시,울주군,진하해수욕장,울산 울주군,자연관광,자연경관(하천/해양),79238
9,울산광역시,남구,이마트울산점,울산 남구 남중로 48-0,쇼핑,대형마트,75542
10,울산광역시,남구,태화강역,울산 남구 산업로 654-0,기타관광,교통시설,72342
11,울산광역시,남구,장생포고래박물관,울산 남구 장생포고래로 244-0,문화관광,전시시설,63597
12,울산광역시,동구,일산해수욕장,울산 동구 해수욕장10길 21-0,자연관광,자연경관(하천/해양),62877
13,울산광역시,남구,업스퀘어,울산 남구 화합로 185-0,쇼핑,쇼핑몰,60599
14,울산광역시,북구,울산공항,울산 북구 산업로 1103-0,기타관광,교통시설,59288
15,울산광역시,중구,태화강국가정원,울산 중구 샛강남길 5-0,문화관광,도시공원,52164
16,울산광역시,남구,울산시외버스터미널,울산 남구 화합로 133-0,기타관광,교통시설,47302
17,울산광역시,울주군,언양자수정동굴나라,울산 울주군 자수정로 212-0,자연관광,자연생태,47242
18,울산광역시,남구,문수월드컵경기장,울산 남구 문수로 44-0,문화관광,레저스포츠시설,46516
19,울산광역시,남구,울산농수산물도매시장,울산 남구 삼산로 324-0,쇼핑,시장,44990
20,울산광역시,울주군,더골프클럽,울산 울주군 용연길 206-52,레저스포츠,육상레저스포츠,43470
21,울산광역시,중구,홈플러스울산점,울산 중구 번영로 475-0,쇼핑,대형마트,43252
22,울산광역시,남구,롯데마트울산점,울산 남구 삼산로 74-0,쇼핑,대형마트,40083
23,울산광역시,북구,메가마트울산점,울산 북구 진장17길 10-0,쇼핑,대형마트,38059
24,울산광역시,울주군,보라CC,울산 울주군 삼동로 404-0,레저스포츠,육상레저스포츠,35708
25,울산광역시,남구,홈플러스울산남구점,울산 남구 수암로 148-0,쇼핑,대형마트,34360
26,울산광역시,울주군,울산전시컨벤션센터,울산 울주군 울산역로 255-0,문화관광,전시시설,31704
27,울산광역시,울주군,석남사,울산 울주군 석남로 557-0,역사관광,종교성지,29874
