순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,인천광역시,중구,인천국제공항제1여객터미널,인천 중구 공항로 272-0,기타관광,교통시설,3483944
2,인천광역시,중구,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,기타관광,교통시설,1589821
3,인천광역시,연수구,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,696232
4,인천광역시,미추홀구,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,399396
5,인천광역시,연수구,코스트코홀세일송도점,인천 연수구 컨벤시아대로230번길 60-0,쇼핑,대형마트,298415
6,인천광역시,미추홀구,인천종합터미널,인천 미추홀구 연남로 35-0,기타관광,교통시설,282854
7,인천광역시,연수구,스퀘어원,인천 연수구 청능대로 210-0,쇼핑,쇼핑몰,256853
8,인천광역시,남동구,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장,255765
9,인천광역시,중구,인천종합어시장,인천 중구 연안부두로33번길 37-0,쇼핑,시장,254815
10,인천광역시,중구,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),246175
11,인천광역시,남동구,인천대공원,인천 남동구 무네미로 236-0,문화관광,도시공원,224362
12,인천광역시,연수구,송도컨벤시아,인천 연수구 센트럴로 123-0,문화관광,전시시설,205040
13,인천광역시,연수구,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,199555
14,인천광역시,강화군,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),194473
15,인천광역시,강화군,강화풍물시장,인천 강화군 중앙로 17-9,쇼핑,시장,162333
16,인천광역시,동구,트레이더스 홀세일 클럽송림점,인천 동구 봉수대로 82-0,쇼핑,대형마트,148217
17,인천광역시,서구,모다아울렛인천점,인천 서구 북항로32번안길 50-0,쇼핑,쇼핑몰,147215
18,인천광역시,연수구,이마트연수점,인천 연수구 경원대로 184-0,쇼핑,대형마트,145137
19,인천광역시,부평구,삼산농산물도매시장,인천 부평구 영성동로 46-0,쇼핑,시장,143828
20,인천광역시,서구,홈플러스인천청라점,인천 서구 중봉대로 587-0,쇼핑,대형마트,118727
21,인천광역시,연수구,트리플스트리트A동,인천 연수구 송도과학로16번길 33-1,쇼핑,쇼핑몰,117212
22,인천광역시,남동구,홈플러스간석점,인천 남동구 경원대로 971-0,쇼핑,대형마트,112906
23,인천광역시,서구,청라호수공원,인천 서구 크리스탈로 59-0,문화관광,도시공원,110010
24,인천광역시,강화군,대룡시장,인천 강화군 대룡안길 60-0,쇼핑,시장,106278
25,인천광역시,강화군,보문사,인천 강화군 삼산남로828번길 44-0,역사관광,종교성지,106066
26,인천광역시,남동구,모래내시장,인천 남동구 호구포로 818-0,쇼핑,시장,100066
27,인천광역시,부평구,롯데마트삼산점,인천 부평구 길주로 623-0,쇼핑,대형마트,96808
28,인천광역시,중구,삼목선착장,인천 중구 영종해안북로847번길 55-0,기타관광,교통시설,94934
29,인천광역시,연수구,트리플스트리트C동,인천 연수구 송도과학로16번길 33-3,쇼핑,쇼핑몰,93610
30,인천광역시,연수구,트리플스트리트D동,인천 연수구 송도과학로16번길 33-4,쇼핑,쇼핑몰,88656
31,인천광역시,중구,인천항연안여객터미널,인천 중구 연안부두로 70-0,기타관광,교통시설,86437
32,인천광역시,계양구,이마트계양점,인천 계양구 봉오대로 785-0,쇼핑,대형마트,84208
33,인천광역시,미추홀구,신기시장,인천 미추홀구 인하로262번길 34-0,쇼핑,시장,81795
34,인천광역시,강화군,전등사,인천 강화군 전등사로 37-41,역사관광,종교성지,81769
35,인천광역시,서구,베어즈베스트청라GC,인천 서구 청라대로316번길 45-0,레저스포츠,육상레저스포츠,81127
36,인천광역시,동구,이마트트레이더스송림점,인천 동구 봉수대로 82-0,쇼핑,대형마트,77471
37,인천광역시,서구,이마트검단점,인천 서구 서곶로 754-0,쇼핑,대형마트,76462
38,인천광역시,남동구,뉴코아아울렛인천점,인천 남동구 인하로 485-0,쇼핑,대형마트,75883
39,인천광역시,중구,신포국제시장,인천 중구 우현로49번길 11-5,쇼핑,시장,75411
40,인천광역시,연수구,홈플러스인천송도점,인천 연수구 송도국제대로 165-0,쇼핑,대형마트,74773
41,인천광역시,미추홀구,인천SSG랜더스필드,인천 미추홀구 매소홀로 618-0,문화관광,레저스포츠시설,74619
42,인천광역시,중구,클럽72CC바다코스,인천 중구 공항동로 392-0,레저스포츠,육상레저스포츠,73635
43,인천광역시,연수구,오렌지듄스GC,인천 연수구 인천신항대로 1120-0,레저스포츠,육상레저스포츠,68435
44,인천광역시,중구,이마트동인천점,인천 중구 인중로 134-0,쇼핑,대형마트,67795
45,인천광역시,서구,홈플러스가좌점,인천 서구 가정로151번길 11-0,쇼핑,대형마트,65282
46,인천광역시,남동구,CGV인천,인천 남동구 예술로 198-0,문화관광,공연시설,63478
47,인천광역시,연수구,롯데마트송도점,인천 연수구 컨벤시아대로 177-0,쇼핑,대형마트,62993
48,인천광역시,부평구,아이즈빌아울렛,인천 부평구 마장로 489-0,쇼핑,쇼핑몰,61616
49,인천광역시,서구,드림파크CC,인천 서구 경인항대로 180-0,레저스포츠,육상레저스포츠,61554
50,인천광역시,중구,영종도선착장,인천 중구,기타관광,교통시설,60960
51,인천광역시,부평구,2001아울렛부평점,인천 부평구 경원대로 1277-0,쇼핑,대형마트,56558
52,인천광역시,옹진군,십리포해변,인천 옹진군,자연관광,자연경관(하천/해양),55612
53,인천광역시,강화군,마니산,인천 강화군,자연관광,자연경관(산),55318
54,인천광역시,계양구,홈플러스작전점,인천 계양구 계양대로 27-0,쇼핑,대형마트,54840
55,인천광역시,중구,롯데마트영종도점,인천 중구 흰바위로 51-0,쇼핑,대형마트,54592
56,인천광역시,부평구,모다아울렛부평점,인천 부평구 부평문화로 35-0,쇼핑,쇼핑몰,54293
57,인천광역시,미추홀구,홈플러스인하점,인천 미추홀구 소성로 6-0,쇼핑,대형마트,54268
58,인천광역시,서구,인천그랜드CC,인천 서구 원석로 195-0,레저스포츠,육상레저스포츠,54100
59,인천광역시,부평구,롯데마트부평점,인천 부평구 마장로 296-0,쇼핑,대형마트,53794
60,인천광역시,옹진군,영흥도,인천 옹진군 영흥로 294-0,자연관광,자연경관(하천/해양),53644
61,인천광역시,강화군,석모도미네랄온천,인천 강화군 삼산남로 865-17,체험관광,웰니스관광,53365
62,인천광역시,부평구,부평종합시장,인천 부평구 부흥로304번길 39-0,쇼핑,시장,53311
63,인천광역시,중구,오렌지듄스영종골프클럽,인천 중구 영종해안남로321번길 184-0,레저스포츠,육상레저스포츠,53029
64,인천광역시,연수구,케이슨24,인천 연수구 컨벤시아대로391번길 20-0,문화관광,기타문화관광지,52167
65,인천광역시,계양구,롯데마트계양점,인천 계양구 장제로 822-0,쇼핑,대형마트,51790
66,인천광역시,서구,롯데마트청라점,인천 서구 청라커낼로 252-0,쇼핑,대형마트,50939
67,인천광역시,남동구,홈플러스인천논현점,인천 남동구 청능대로 596-0,쇼핑,대형마트,50501
68,인천광역시,남동구,홈플러스구월점,인천 남동구 예술로 198-0,쇼핑,대형마트,49950
69,인천광역시,연수구,트리플스트리트B동,인천 연수구 송도과학로16번길 33-2,쇼핑,쇼핑몰,49830
70,인천광역시,연수구,잭니클라우스GC코리아,인천 연수구 아카데미로 209-0,레저스포츠,육상레저스포츠,49733
71,인천광역시,강화군,외포리선착장,인천 강화군 해안서로 883-0,기타관광,교통시설,49466
72,인천광역시,계양구,인천어린이과학관,인천 계양구 방축로 21-0,문화관광,전시시설,47465
73,인천광역시,계양구,아라마루전망대,인천 계양구 아라로 228-0,문화관광,랜드마크관광,47224
74,인천광역시,중구,스카이72GC바다코스,인천 중구 공항동로 392-0,레저스포츠,육상레저스포츠,47096
75,인천광역시,중구,마시안해변,인천 중구 마시란로 118-0,자연관광,자연경관(하천/해양),47036
76,인천광역시,서구,정서진중앙시장,인천 서구 가정로380번길 21-11,쇼핑,시장,46168
77,인천광역시,강화군,민머루해수욕장,인천 강화군,자연관광,자연경관(하천/해양),45823
78,인천광역시,연수구,선학국제빙상경기장,인천 연수구 경원대로 526-0,레저스포츠,육상레저스포츠,42264
79,인천광역시,서구,롯데시네마인천아시아드,인천 서구 봉수대로 806-0,문화관광,공연시설,41979
80,인천광역시,남동구,올리브백화점,인천 남동구 남동대로 880-0,쇼핑,백화점,40582
81,인천광역시,강화군,석모도,인천 강화군,자연관광,자연경관(하천/해양),40498
82,인천광역시,서구,인천국제CC,인천 서구 도요지로 37-0,레저스포츠,육상레저스포츠,40151
83,인천광역시,미추홀구,토지금고시장,인천 미추홀구 낙섬중로38번길 5-0,쇼핑,시장,40068
84,인천광역시,미추홀구,앨리웨이인천,인천 미추홀구 숙골로88번길 12-0,쇼핑,쇼핑몰,39781
85,인천광역시,계양구,홈플러스계산점,인천 계양구 오조산공원로 14-0,쇼핑,대형마트,38800
86,인천광역시,연수구,CGV송도타임스페이스,인천 연수구 하모니로 158-0,문화관광,공연시설,38279
87,인천광역시,중구,하늘정원,인천 중구,문화관광,도시공원,37358
88,인천광역시,계양구,계양산전통시장,인천 계양구 병방시장로 62-1,쇼핑,시장,37074
89,인천광역시,미추홀구,석바위시장,인천 미추홀구 경원대로 848-0,쇼핑,시장,36446
90,인천광역시,중구,구읍뱃터어시장,인천 중구 은하수로 12-0,쇼핑,시장,35800
91,인천광역시,부평구,CGV부평,인천 부평구 마장로 489-0,문화관광,공연시설,34480
92,인천광역시,서구,국립생물자원관생생채움동,인천 서구 환경로 42-0,문화관광,전시시설,34190
93,인천광역시,미추홀구,문학박태환수영장,인천 미추홀구 매소홀로 618-0,문화관광,테마공원,34176
94,인천광역시,강화군,강화루지,인천 강화군 장흥로 217-0,레저스포츠,기타레저스포츠,34009
95,인천광역시,서구,롯데마트검단점,인천 서구 원당대로 581-0,쇼핑,대형마트,33628
96,인천광역시,강화군,유니아일랜드골프앤스파리조트,인천 강화군 어류정길177번길 15-0,레저스포츠,육상레저스포츠,33481
97,인천광역시,미추홀구,용현시장,인천 미추홀구 용삼길 57-1,쇼핑,시장,32922
98,인천광역시,부평구,롯데마트부평역점,인천 부평구 광장로 16-0,쇼핑,대형마트,32455
99,인천광역시,연수구,메가박스송도,인천 연수구 송도과학로16번길 33-4,문화관광,공연시설,32333
100,인천광역시,부평구,부평역사쇼핑몰,인천 부평구 광장로 16-0,쇼핑,쇼핑몰,32332
101,인천광역시,강화군,강화도,인천 강화군,자연관광,자연경관(하천/해양),31617
102,인천광역시,옹진군,선재바다낚시공원,인천 옹진군 선재로226번길 164-0,레저스포츠,수상레저스포츠,31591
103,인천광역시,서구,CGV청라,인천 서구 청라루비로 76-0,문화관광,공연시설,31569
104,인천광역시,미추홀구,신성쇼핑타워,인천 미추홀구 주안중로 25-0,쇼핑,쇼핑몰,31420
105,인천광역시,강화군,화개정원,인천 강화군 교동동로471번길 6-60,문화관광,도시공원,31146
106,인천광역시,부평구,롯데시네마부평,인천 부평구 대정로 66-0,문화관광,공연시설,30933
107,인천광역시,미추홀구,CGV인천도화,인천 미추홀구 숙골로88번길 12-0,문화관광,공연시설,30728
108,인천광역시,서구,가좌시장,인천 서구 장고개로337번길 18-19,쇼핑,시장,30284
109,인천광역시,연수구,송도골프클럽,인천 연수구 능허대로 236-0,레저스포츠,육상레저스포츠,29948
110,인천광역시,연수구,홈플러스인천연수점,인천 연수구 청능대로 210-0,쇼핑,대형마트,29828
111,인천광역시,중구,예단포선착장,인천 중구 예단포1로 2-13,기타관광,교통시설,29748
112,인천광역시,강화군,강화평화전망대,인천 강화군 전망대로 797-0,문화관광,랜드마크관광,29298
113,인천광역시,연수구,송도달빛축제공원,인천 연수구 센트럴로 350-0,문화관광,도시공원,29156
114,인천광역시,중구,실미유원지,인천 중구 큰무리로 124-17,문화관광,복합관광시설,28962
115,인천광역시,강화군,옥토끼우주센터,인천 강화군 강화동로 403-0,기타관광,기타관광,28883
116,인천광역시,중구,파라다이스시티씨메르,인천 중구 영종해안남로321번길 186-0,체험관광,웰니스관광,28196
117,인천광역시,연수구,인천항국제여객터미널,인천 연수구 국제항만대로326번길 57-0,기타관광,교통시설,28037
118,인천광역시,미추홀구,홈플러스인천숭의점,인천 미추홀구 석정로 51-0,쇼핑,대형마트,28033
119,인천광역시,계양구,계산시장,인천 계양구 계산시장길 10-18,쇼핑,시장,28016
120,인천광역시,계양구,경인아라뱃길아라폭포,인천 계양구,자연관광,자연경관(산),27832
121,인천광역시,미추홀구,용화선원,인천 미추홀구 주염로 43-0,역사관광,종교성지,27806
122,인천광역시,연수구,아트센터인천,인천 연수구 아트센터대로 222-0,문화관광,공연시설,27732
123,인천광역시,미추홀구,CGV주안역,인천 미추홀구 염창로 58-0,문화관광,공연시설,27509
124,인천광역시,서구,거북시장,인천 서구 거북로 109-0,쇼핑,시장,27472
125,인천광역시,남동구,간석자유시장,인천 남동구 백범로 312-1,쇼핑,시장,27147
126,인천광역시,연수구,NC큐브커낼워크점,인천 연수구 아트센터대로 87-0,쇼핑,쇼핑몰,26960
127,인천광역시,연수구,옥련시장,인천 연수구 한나루로79번길 53-0,쇼핑,시장,26777
128,인천광역시,옹진군,장경리해변,인천 옹진군,자연관광,자연경관(하천/해양),26655
129,인천광역시,중구,파라다이스시티원더박스,인천 중구 영종해안남로321번길 186-0,문화관광,복합관광시설,26651
130,인천광역시,계양구,CGV계양,인천 계양구 장제로 738-0,문화관광,공연시설,26543
131,인천광역시,강화군,강화시외버스터미널,인천 강화군 중앙로 43-0,기타관광,교통시설,26464
132,인천광역시,연수구,롯데마트연수점,인천 연수구 청능대로 87-0,쇼핑,대형마트,26327
133,인천광역시,남동구,소래습지생태공원,인천 남동구 소래로154번길 77-0,문화관광,도시공원,26112
134,인천광역시,서구,신거북시장,인천 서구 거북로 117-0,쇼핑,시장,25767
135,인천광역시,중구,실미해수욕장,인천 중구,자연관광,자연경관(하천/해양),25427
136,인천광역시,중구,영종씨사이드레일바이크,인천 중구 구읍로 75-0,레저스포츠,기타레저스포츠,25238
137,인천광역시,연수구,LF스퀘어인천점,인천 연수구 청능대로23번길 11-0,쇼핑,쇼핑몰,24347
138,인천광역시,서구,드림파크야생화공원,인천 서구 경인항대로 180-0,문화관광,도시공원,24170
139,인천광역시,부평구,롯데시네마부평갈산,인천 부평구 주부토로 236-0,문화관광,공연시설,24086
140,인천광역시,옹진군,에너지파크,인천 옹진군 영흥남로293번길 52-0,기타관광,기타관광,23765
141,인천광역시,남동구,만수시장,인천 남동구 만수로27번길 4-13,쇼핑,시장,23288
142,인천광역시,강화군,외포항수산물직판장,인천 강화군 해안서로 899-2,쇼핑,시장,22873
143,인천광역시,미추홀구,수봉공원,인천 미추홀구 수봉안길 84-0,문화관광,도시공원,22775
144,인천광역시,연수구,해돋이공원,인천 연수구 해돋이로 51-0,문화관광,도시공원,22538
145,인천광역시,강화군,강화광성보,인천 강화군 해안동로466번길 27-0,역사관광,역사유적지,22486
146,인천광역시,중구,월미도선착장,인천 중구 월미문화로 36-0,기타관광,교통시설,21952
147,인천광역시,중구,인천축구전용경기장,인천 중구 참외전로 246-0,문화관광,레저스포츠시설,21875
148,인천광역시,중구,파라다이스시티플라자,인천 중구 영종해안남로321번길 186-0,쇼핑,쇼핑몰,20883
149,인천광역시,부평구,인천나비공원,인천 부평구 평천로 26-47,문화관광,도시공원,19996
150,인천광역시,강화군,강화화개산모노레일,인천 강화군 교동동로471번길 6-60,레저스포츠,기타레저스포츠,19117
151,인천광역시,중구,월미테마파크,인천 중구 월미문화로 81-0,문화관광,테마공원,18830
152,인천광역시,옹진군,선재도,인천 옹진군,자연관광,자연경관(하천/해양),18579
153,인천광역시,강화군,강화경찰수련원,인천 강화군 해안남로65번길 15-0,레저스포츠,육상레저스포츠,17135
154,인천광역시,서구,강남시장,인천 서구 강남로 14-0,쇼핑,시장,17110
155,인천광역시,중구,천혜바다낚시터,인천 중구,레저스포츠,수상레저스포츠,16867
156,인천광역시,강화군,강화웰빙리조트CC,인천 강화군 해안남로 392-0,레저스포츠,육상레저스포츠,16591
157,인천광역시,강화군,초지진,인천 강화군,역사관광,역사유적지,16539
158,인천광역시,남동구,인천승마공원,인천 남동구 만의골로 225-0,레저스포츠,육상레저스포츠,16440
159,인천광역시,부평구,부평깡시장,인천 부평구 주부토로32번길 25-0,쇼핑,시장,16349
160,인천광역시,동구,화도진공원,인천 동구 화도진로 114-0,문화관광,도시공원,16331
161,인천광역시,강화군,교동도,인천 강화군,자연관광,자연경관(하천/해양),16303
162,인천광역시,중구,스카이72GC하늘코스,인천 중구 공항동로135번길 267-0,레저스포츠,육상레저스포츠,16267
163,인천광역시,미추홀구,롯데마트인천터미널점,인천 미추홀구 연남로 35-0,쇼핑,대형마트,16013
164,인천광역시,남동구,뉴코아아울렛인천논현점,인천 남동구 청능대로 596-0,쇼핑,대형마트,15429
165,인천광역시,계양구,강서개화축구장,인천 계양구,문화관광,레저스포츠시설,15294
166,인천광역시,서구,메가박스청라지젤,인천 서구 청라에메랄드로 99-0,문화관광,공연시설,15260
167,인천광역시,중구,인천학생과학관,인천 중구 영종대로277번길 74-10,문화관광,전시시설,15047
168,인천광역시,서구,메가박스검단,인천 서구 서곶로 788-0,문화관광,공연시설,15040
169,인천광역시,연수구,흥륜사,인천 연수구 청량로70번길 40-17,역사관광,종교성지,15039
170,인천광역시,서구,인천축산물백화점,인천 서구 백범로630번길 22-0,쇼핑,시장,14694
171,인천광역시,미추홀구,롯데시네마인천터미널,인천 미추홀구 연남로 35-0,문화관광,공연시설,14582
172,인천광역시,중구,클럽72CC하늘코스,인천 중구 공항동로135번길 267-0,레저스포츠,육상레저스포츠,14564
173,인천광역시,남동구,인천청소년수련관,인천 남동구 장수로 42-0,레저스포츠,육상레저스포츠,14316
174,인천광역시,중구,인천남항부두,인천 중구 축항대로166번길 18-0,자연관광,자연경관(하천/해양),14111
175,인천광역시,중구,자유공원,인천 중구 제물량로232번길 46-0,문화관광,도시공원,14081
176,인천광역시,중구,만정바다좌대낚시터,인천 중구 영종순환로 279-20,레저스포츠,수상레저스포츠,13952
177,인천광역시,중구,메가박스영종,인천 중구 영종대로 184-0,문화관광,공연시설,13816
178,인천광역시,미추홀구,CGV인천학익,인천 미추홀구 매소홀로 255-0,문화관광,공연시설,13673
179,인천광역시,서구,코스모40,인천 서구 장고개로231번길 9-0,문화관광,기타문화관광지,13641
180,인천광역시,옹진군,진두선착장,인천 옹진군,기타관광,교통시설,13339
181,인천광역시,계양구,계산체육공원,인천 계양구 주부토로 570-0,문화관광,도시공원,13254
182,인천광역시,중구,광명항선착장,인천 중구 대무의로 523-2,기타관광,교통시설,13081
183,인천광역시,옹진군,영흥바다낚시터,인천 옹진군 영흥로176번길 21-0,레저스포츠,수상레저스포츠,12989
184,인천광역시,서구,고고다이노키즈카페청라점,인천 서구 크리스탈로74번길 25-0,문화관광,테마공원,12922
185,인천광역시,강화군,동검레저바다낚시터,인천 강화군 동검길65번길 93-6,레저스포츠,수상레저스포츠,12857
186,인천광역시,중구,잠진도선착장,인천 중구 잠진도길 144-0,기타관광,교통시설,12830
187,인천광역시,연수구,송도LNG야구장,인천 연수구 인천신항대로 916-0,문화관광,레저스포츠시설,12773
188,인천광역시,부평구,일신종합시장,인천 부평구 경인로1118번길 14-4,쇼핑,시장,12749
189,인천광역시,강화군,선수선착장,인천 강화군 해안남로 2781-0,기타관광,교통시설,12747
190,인천광역시,강화군,강화역사박물관,인천 강화군 강화대로 994-19,문화관광,전시시설,12649
191,인천광역시,강화군,강화고인돌,인천 강화군,역사관광,역사유적지,12638
192,인천광역시,남동구,메가박스인천논현,인천 남동구 논고개로 61-0,문화관광,공연시설,12374
193,인천광역시,연수구,인천시립박물관,인천 연수구 청량로160번길 26-0,문화관광,전시시설,12212
194,인천광역시,연수구,영남스포츠월드,인천 연수구 새말로107번길 16-0,레저스포츠,기타레저스포츠,12107
195,인천광역시,중구,거잠포선착장,인천 중구 잠진도길 11-0,기타관광,교통시설,12083
196,인천광역시,중구,정성레저낚시터,인천 중구 백운로186번길 140-1,레저스포츠,수상레저스포츠,11833
197,인천광역시,미추홀구,경향프라자,인천 미추홀구 주안로 108-0,쇼핑,쇼핑몰,11721
198,인천광역시,동구,만석부두,인천 동구,자연관광,자연경관(하천/해양),11688
199,인천광역시,강화군,석모도수목원,인천 강화군 삼산북로449번길 161-0,문화관광,테마공원,11662
200,인천광역시,연수구,아틀란티스송도점,인천 연수구 컨벤시아대로230번길 42-0,문화관광,테마공원,11580
201,인천광역시,남동구,약사사,인천 남동구 풀무로 48-0,역사관광,종교성지,11449
202,인천광역시,연수구,CGV연수역,인천 연수구 벚꽃로 106-0,문화관광,공연시설,11408
203,인천광역시,미추홀구,풍림하나로쇼핑센터,인천 미추홀구 토금중로 13-0,쇼핑,쇼핑몰,11183
204,인천광역시,강화군,연미정,인천 강화군,역사관광,역사유적지,11156
205,인천광역시,서구,서구청소년센터,인천 서구 원창로 92-0,레저스포츠,육상레저스포츠,10967
206,인천광역시,계양구,작전시장,인천 계양구 작전시장로 16-0,쇼핑,시장,10921
207,인천광역시,연수구,인천상륙작전기념관,인천 연수구 청량로 138-0,문화관광,전시시설,10912
208,인천광역시,강화군,장화리일몰조망지,인천 강화군,기타관광,기타관광,10902
209,인천광역시,중구,클럽72CC레이크코스,인천 중구,레저스포츠,육상레저스포츠,10744
210,인천광역시,중구,예단포둘레길,인천 중구,기타관광,기타관광,10440
211,인천광역시,연수구,인천도시역사관,인천 연수구 인천타워대로 238-0,문화관광,전시시설,10345
