순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,전라북도,전주시 완산구,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,346170
2,전라북도,익산시,익산역,전북 익산시 익산대로 153-0,기타관광,교통시설,260980
3,전라북도,전주시 덕진구,전주역,전북 전주시 덕진구 동부대로 680-0,기타관광,교통시설,206744
4,전라북도,전주시 덕진구,전주고속버스터미널,전북 전주시 덕진구 가리내로 70-0,기타관광,교통시설,106591
5,전라북도,정읍시,정읍역,전북 정읍시 서부산업도로 305-0,기타관광,교통시설,102746
6,전라북도,전주시 완산구,롯데백화점전주점,전북 전주시 완산구 온고을로 2-0,쇼핑,백화점,98604
7,전라북도,전주시 덕진구,전주월드컵경기장,전북 전주시 덕진구 기린대로 1055-0,문화관광,레저스포츠시설,97339
8,전라북도,군산시,롯데몰군산점,전북 군산시 조촌로 130-0,쇼핑,쇼핑몰,91344
9,전라북도,고창군,선운사,전북 고창군 선운사로 250-0,역사관광,종교성지,81250
10,전라북도,남원시,광한루원,전북 남원시 요천로 1447-0,기타관광,기타관광,80930
11,전라북도,전주시 덕진구,전주시외버스공용터미널,전북 전주시 덕진구 가리내로 30-0,기타관광,교통시설,76902
12,전라북도,전주시 완산구,남부시장,전북 전주시 완산구 풍남문2길 63-0,쇼핑,시장,75759
13,전라북도,부안군,채석강,전북 부안군,기타관광,기타관광,73912
14,전라북도,전주시 덕진구,전주동물원,전북 전주시 덕진구 소리로 68-0,문화관광,테마공원,67500
15,전라북도,군산시,비응항,전북 군산시,기타관광,교통시설,64325
16,전라북도,부안군,변산해수욕장,전북 부안군,자연관광,자연경관(하천/해양),61361
17,전라북도,임실군,옥정호출렁다리,전북 임실군,기타관광,기타관광,60845
18,전라북도,무주군,무주덕유산리조트곤돌라,전북 무주군 만선로 185-0,레저스포츠,기타레저스포츠,55115
19,전라북도,군산시,은파호수공원,전북 군산시 은파순환길 9-0,문화관광,도시공원,54437
20,전라북도,부안군,격포항,전북 부안군 격포중앙길 28-7,자연관광,자연경관(하천/해양),53800
21,전라북도,전주시 덕진구,전주덕진공원,전북 전주시 덕진구 권삼득로 390-0,문화관광,도시공원,52352
22,전라북도,군산시,선유도,전북 군산시 선유남길 34-22,자연관광,자연경관(하천/해양),52021
23,전라북도,군산시,선유도해수욕장,전북 군산시 선유도1길 235-0,자연관광,자연경관(하천/해양),49719
24,전라북도,군산시,군산CC,전북 군산시 남군산로 1685-53,레저스포츠,육상레저스포츠,48821
25,전라북도,임실군,임실치즈테마파크,전북 임실군 도인2길 50-0,문화관광,테마공원,47514
