순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,경상남도,김해시,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,448238
2,경상남도,통영시,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,187966
3,경상남도,양산시,통도사,경남 양산시 통도사로 108-0,역사관광,종교성지,181742
4,경상남도,남해군,독일마을,경남 남해군 독일로 92-0,기타관광,기타관광,137560
5,경상남도,창원시 의창구,창원중앙역,경남 창원시 의창구 상남로 381-0,기타관광,교통시설,129722
6,경상남도,창원시 성산구,롯데백화점창원점,경남 창원시 성산구 중앙대로 124-0,쇼핑,백화점,128704
7,경상남도,김해시,신세계백화점김해점,경남 김해시 김해대로 2232-0,쇼핑,백화점,123791
8,경상남도,창원시 마산회원구,마산역,경남 창원시 마산회원구 마산역광장로 18-0,기타관광,교통시설,121808
9,경상남도,거제시,바람의언덕,경남 거제시,문화관광,기타문화관광지,117941
10,경상남도,거제시,매미성,경남 거제시 복항길 29-0,역사관광,역사유적지,110921
11,경상남도,창원시 마산회원구,마산시외버스터미널,경남 창원시 마산회원구 3·15대로 756-0,기타관광,교통시설,99988
12,경상남도,하동군,화개장터,경남 하동군 쌍계로 17-0,쇼핑,시장,96315
13,경상남도,창원시 의창구,창원역,경남 창원시 의창구 의창대로 67-0,기타관광,교통시설,88794
14,경상남도,김해시,김해롯데워터파크본관,경남 김해시 장유로 555-0,문화관광,테마공원,84185
15,경상남도,남해군,보리암,경남 남해군 보리암로 665-0,역사관광,종교성지,82186
16,경상남도,진주시,진주역,경남 진주시 진주역로 130-0,기타관광,교통시설,81349
17,경상남도,창원시 의창구,창원종합버스터미널,경남 창원시 의창구 창원대로 371-0,기타관광,교통시설,78357
18,경상남도,창원시 마산합포구,마산어시장,경남 창원시 마산합포구 복요리로 7-0,쇼핑,시장,72598
19,경상남도,밀양시,밀양역,경남 밀양시 중앙로 62-0,기타관광,교통시설,71925
20,경상남도,합천군,해인사,경남 합천군 해인사길 122-0,역사관광,종교성지,70215
21,경상남도,사천시,사천공항,경남 사천시 사천대로 1971-0,기타관광,교통시설,68797
22,경상남도,진주시,롯데몰진주점,경남 진주시 동진로 440-0,쇼핑,쇼핑몰,68482
23,경상남도,사천시,삼천포용궁수산시장,경남 사천시 어시장길 64-0,쇼핑,시장,68099
24,경상남도,창원시 마산합포구,마산로봇랜드,경남 창원시 마산합포구 로봇랜드로 250-0,문화관광,테마공원,67510
25,경상남도,하동군,삼성궁,경남 하동군 삼성궁길 86-15,기타관광,기타관광,63917
26,경상남도,통영시,통영케이블카,경남 통영시 발개로 205-0,기타관광,기타관광,60132
27,경상남도,거제시,고현종합시장,경남 거제시 거제중앙로 1883-2,쇼핑,시장,58508
28,경상남도,창원시 마산합포구,신세계백화점마산점,경남 창원시 마산합포구 합포로 251-0,쇼핑,백화점,58296
29,경상남도,창원시 성산구,상남시장,경남 창원시 성산구 마디미로 28-0,쇼핑,시장,57071
30,경상남도,창원시 의창구,마금산원탕보양온천,경남 창원시 의창구 천주로 1167-0,체험관광,웰니스관광,55496
31,경상남도,거제시,거제파노라마케이블카,경남 거제시 거제중앙로 288-0,레저스포츠,기타레저스포츠,55316
32,경상남도,사천시,사천바다케이블카대방정류장,경남 사천시 사천대로 18-0,기타관광,기타관광,54970
33,경상남도,거제시,고현시외버스터미널,경남 거제시 고현천로 10-0,기타관광,교통시설,54825
34,경상남도,양산시,물금역,경남 양산시 황산로 347-0,기타관광,교통시설,53941
35,경상남도,김해시,가야CC,경남 김해시 인제로 502-0,레저스포츠,육상레저스포츠,52842
36,경상남도,진주시,진주시외버스터미널,경남 진주시 남강로 712-0,기타관광,교통시설,52735
37,경상남도,밀양시,표충사,경남 밀양시 표충로 1338-0,역사관광,종교성지,52168
38,경상남도,하동군,쌍계사,경남 하동군 쌍계사길 59-0,역사관광,종교성지,51363
39,경상남도,거제시,학동흑진주몽돌해변,경남 거제시 학동6길 18-1,자연관광,자연경관(하천/해양),51009
40,경상남도,창원시 성산구,창원컨벤션센터,경남 창원시 성산구 원이대로 362-0,문화관광,전시시설,50930
41,경상남도,통영시,통영여객선터미널,경남 통영시 통영해안로 234-0,기타관광,교통시설,48927
42,경상남도,김해시,연지공원,경남 김해시 금관대로1368번길 7-0,문화관광,도시공원,48060
43,경상남도,창원시 진해구,용원어시장,경남 창원시 진해구 용원동로 0-0,쇼핑,시장,46411
44,경상남도,창원시 진해구,진해루,경남 창원시 진해구 진희로 150-0,역사관광,역사유적지,45606
45,경상남도,창원시 진해구,아라미르CC,경남 창원시 진해구 수제로 36-0,레저스포츠,육상레저스포츠,45569
46,경상남도,통영시,통영종합버스터미널,경남 통영시 죽림4로 24-0,기타관광,교통시설,45502
47,경상남도,창원시 성산구,대동백화점,경남 창원시 성산구 원이대로 730-0,쇼핑,백화점,45247
48,경상남도,창원시 진해구,용원골프클럽,경남 창원시 진해구 가주로 133-0,레저스포츠,육상레저스포츠,45056
49,경상남도,산청군,수선사,경남 산청군 웅석봉로154번길 102-23,역사관광,종교성지,44717
50,경상남도,남해군,상주은모래비치,경남 남해군 상주로 17-0,자연관광,자연경관(하천/해양),44150
51,경상남도,산청군,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광,기타관광,43611
52,경상남도,통영시,이순신공원,경남 통영시 멘데해안길 205-0,문화관광,도시공원,42497
53,경상남도,김해시,진영역,경남 김해시 김해대로 809-0,기타관광,교통시설,42367
