순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,제주특별자치도,제주시,제주국제공항,제주 제주시 공항로 2-0,기타관광,교통시설,712737
2,제주특별자치도,제주시,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,233947
3,제주특별자치도,서귀포시,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,216665
4,제주특별자치도,제주시,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),164857
5,제주특별자치도,서귀포시,성산일출봉,제주 서귀포시 일출로 284-12,자연관광,자연경관(산),157918
6,제주특별자치도,서귀포시,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,기타관광,91047
7,제주특별자치도,서귀포시,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,문화관광,전시시설,85590
8,제주특별자치도,서귀포시,아쿠아플라넷제주,제주 서귀포시 섭지코지로 95-0,문화관광,테마공원,82650
9,제주특별자치도,제주시,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양),78187
10,제주특별자치도,제주시,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,문화관광,전시시설,72869
11,제주특별자치도,제주시,비자림,제주 제주시 비자숲길 55-0,자연관광,자연공원,69389
12,제주특별자치도,제주시,이호테우해변,제주 제주시,자연관광,자연경관(하천/해양),66630
13,제주특별자치도,제주시,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연관광,자연경관(하천/해양),66327
14,제주특별자치도,서귀포시,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,기타관광,교통시설,65167
15,제주특별자치도,제주시,스누피가든,제주 제주시 금백조로 930-0,기타관광,기타관광,62447
16,제주특별자치도,서귀포시,카멜리아힐,제주 서귀포시 병악로 166-0,문화관광,테마공원,61447
17,제주특별자치도,제주시,제주항연안여객터미널,제주 제주시 임항로 111-0,기타관광,교통시설,60443
18,제주특별자치도,서귀포시,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,기타관광,55457
19,제주특별자치도,제주시,금능해수욕장,제주 제주시 금능길 119-10,자연관광,자연경관(하천/해양),53514
20,제주특별자치도,서귀포시,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,체험관광,웰니스관광,50701
21,제주특별자치도,제주시,에코랜드테마파크,제주 제주시 번영로 1278-169,문화관광,테마공원,50164
22,제주특별자치도,제주시,용두암,제주 제주시 용두암길 15-0,기타관광,기타관광,49430
23,제주특별자치도,제주시,새별오름,제주 제주시,자연관광,자연관광(산),49262
24,제주특별자치도,서귀포시,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,기타관광,48797
25,제주특별자치도,제주시,한라산둘레길사려니숲길,제주 제주시,레저스포츠,기타레저스포츠,47345
26,제주특별자치도,서귀포시,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,문화관광,복합관광시설,43939
27,제주특별자치도,제주시,곽지해수욕장,제주 제주시,자연관광,자연경관(하천/해양),43760
28,제주특별자치도,서귀포시,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,기타관광,41104
29,제주특별자치도,제주시,도두동무지개해안도로,제주 제주시,기타관광,데이트코스,40500
30,제주특별자치도,제주시,9.81파크,제주 제주시 천덕로 880-24,문화관광,테마공원,40483
31,제주특별자치도,제주시,노형수퍼마?,제주 제주시 노형로 89-0,문화관광,기타문화관광지,38501
32,제주특별자치도,서귀포시,산방산,제주 서귀포시 산방로 218-10,자연관광,자연경관(산),38426
33,제주특별자치도,제주시,만장굴,제주 제주시 만장굴길 182-0,자연관광,자연생태,38053
34,제주특별자치도,서귀포시,우도도항선선착장,제주 서귀포시 성산등용로 130-21,기타관광,교통시설,36640
35,제주특별자치도,서귀포시,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,쇼핑,면세점,36511
36,제주특별자치도,서귀포시,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,문화관광,테마공원,35304
37,제주특별자치도,서귀포시,천지연폭포,제주 서귀포시 서문서로 1-1,자연관광,자연경관(산),35286
38,제주특별자치도,제주시,신창풍차해안도로,제주 제주시,기타관광,데이트코스,34508
39,제주특별자치도,제주시,산굼부리,제주 제주시,문화관광,복합관광시설,33481
40,제주특별자치도,제주시,제주민속오일시장,제주 제주시 오일장서길 26-0,쇼핑,시장,33133
41,제주특별자치도,제주시,금오름,제주 제주시,자연관광,자연관광(산),32387
42,제주특별자치도,서귀포시,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,문화관광,도시공원,30643
43,제주특별자치도,서귀포시,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,문화관광,전시시설,30517
44,제주특별자치도,서귀포시,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,기타관광,30361
45,제주특별자치도,서귀포시,정방폭포,제주 서귀포시,자연관광,자연경관(산),30006
46,제주특별자치도,제주시,제주절물자연휴양림,제주 제주시 명림로 584-0,자연관광,자연공원,28878
47,제주특별자치도,제주시,한라수목원,제주 제주시 수목원길 72-0,자연관광,자연공원,27941
48,제주특별자치도,서귀포시,천제연폭포,제주 서귀포시 천제연로 132-0,자연관광,자연경관(산),27170
49,제주특별자치도,서귀포시,광치기해변,제주 서귀포시,자연관광,자연경관(하천/해양),26413
50,제주특별자치도,서귀포시,빛의벙커,제주 서귀포시 서성일로1168번길 89-17,문화관광,전시시설,26371
51,제주특별자치도,서귀포시,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연관광,자연경관(하천/해양),26115
52,제주특별자치도,제주시,한림공원,제주 제주시 한림로 300-0,문화관광,도시공원,25508
53,제주특별자치도,제주시,비밀의숲,제주 제주시,레저스포츠,기타레저스포츠,25082
54,제주특별자치도,서귀포시,제주아트서커스,제주 서귀포시 동광로 214-0,문화관광,공연시설,25045
55,제주특별자치도,제주시,월정리해변,제주 제주시,자연관광,자연경관(하천/해양),24938
56,제주특별자치도,제주시,세화해수욕장,제주 제주시 충렬로 141-1,자연관광,자연경관(하천/해양),24268
57,제주특별자치도,제주시,제주항제6부두,제주 제주시 임항로 191-0,자연관광,자연경관(하천/해양),24025
58,제주특별자치도,제주시,성이시돌목장,제주 제주시 금악동길 35-0,체험관광,농/산/어촌체험,23841
59,제주특별자치도,서귀포시,약천사,제주 서귀포시 이어도로 293-28,역사관광,종교성지,23710
60,제주특별자치도,서귀포시,표선해수욕장,제주 서귀포시,자연관광,자연경관(하천/해양),23431
61,제주특별자치도,제주시,제주항국제여객선터미널,제주 제주시 임항로 191-0,기타관광,교통시설,22781
62,제주특별자치도,제주시,수목원길야시장,제주 제주시,쇼핑,시장,22663
63,제주특별자치도,서귀포시,윈드1947카트테마파크,제주 서귀포시 토평공단로 78-27,레저스포츠,기타레저스포츠,22245
64,제주특별자치도,제주시,하귀애월해안도로,제주 제주시,기타관광,데이트코스,22086
65,제주특별자치도,서귀포시,제주민속촌,제주 서귀포시 민속해안로 631-34,역사관광,역사유적지,21889
66,제주특별자치도,서귀포시,사계해수욕장,제주 서귀포시,자연관광,자연경관(하천/해양),21884
67,제주특별자치도,서귀포시,운진항,제주 서귀포시 최남단해안로 0-0,자연관광,자연경관(하천/해양),21661
68,제주특별자치도,서귀포시,성산항,제주 서귀포시,자연관광,자연경관(하천/해양),19865
69,제주특별자치도,서귀포시,동백포레스트,제주 서귀포시 생기악로 53-38,체험관광,농/산/어촌체험,19840
70,제주특별자치도,서귀포시,송악산둘레길,제주 서귀포시,레저스포츠,기타레저스포츠,19350
71,제주특별자치도,제주시,아침미소목장,제주 제주시 첨단동길 160-20,체험관광,농/산/어촌체험,19149
72,제주특별자치도,제주시,제주레일바이크,제주 제주시 용눈이오름로 641-0,레저스포츠,기타레저스포츠,18887
73,제주특별자치도,서귀포시,캐슬렉스제주GC,제주 서귀포시 평화로 1241-0,레저스포츠,육상레저스포츠,18443
74,제주특별자치도,제주시,국립제주박물관,제주 제주시 일주동로 17-0,문화관광,전시시설,17402
75,제주특별자치도,서귀포시,사이프러스골프앤리조트,제주 서귀포시 번영로 2300-0,레저스포츠,육상레저스포츠,17103
76,제주특별자치도,서귀포시,루나폴,제주 서귀포시 일주서로 1836-0,문화관광,테마공원,16824
77,제주특별자치도,서귀포시,모슬포항,제주 서귀포시 하모항구로 30-0,자연관광,자연경관(하천/해양),16432
78,제주특별자치도,제주시,라온GC,제주 제주시 용금로 998-0,레저스포츠,육상레저스포츠,16226
79,제주특별자치도,서귀포시,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,기타관광,16208
80,제주특별자치도,제주시,한담해안산책로,제주 제주시 애월로 0-0,레저스포츠,기타레저스포츠,16076
81,제주특별자치도,서귀포시,제주여미지식물원,제주 서귀포시 중문관광로 93-0,문화관광,테마공원,16015
82,제주특별자치도,서귀포시,서귀포치유의숲,제주 서귀포시 산록남로 2271-0,자연관광,자연공원,15860
83,제주특별자치도,제주시,더마파크,제주 제주시 월림7길 155-0,레저스포츠,육상레저스포츠,15731
84,제주특별자치도,제주시,삼양해수욕장,제주 제주시,자연관광,자연경관(하천/해양),15658
85,제주특별자치도,제주시,라온프라이빗타운,제주 제주시 금능남로 127-0,문화관광,복합관광시설,15624
86,제주특별자치도,서귀포시,점보빌리지,제주 서귀포시 평화로319번길 31-11,문화관광,공연시설,15469
87,제주특별자치도,서귀포시,제주월드컵경기장,제주 서귀포시 월드컵로 33-0,문화관광,레저스포츠시설,15192
88,제주특별자치도,서귀포시,해비치CC제주,제주 서귀포시 원님로399번길 319-0,레저스포츠,육상레저스포츠,15186
89,제주특별자치도,제주시,이호랜드방파제등대,제주 제주시 도리로 20-0,문화관광,랜드마크관광,15176
90,제주특별자치도,서귀포시,성읍민속마을,제주 서귀포시 성읍정의현로 19-0,역사관광,역사유적지,14916
91,제주특별자치도,제주시,렛츠런파크제주,제주 제주시 평화로 2144-0,레저스포츠,육상레저스포츠,14855
92,제주특별자치도,제주시,신비의도로,제주 제주시 1100로 2894-63,기타관광,기타관광,14802
93,제주특별자치도,서귀포시,신화테마파크,제주 서귀포시 신화역사로304번길 98-0,문화관광,테마공원,14779
94,제주특별자치도,서귀포시,제주동백수목원,제주 서귀포시,기타관광,기타관광,14506
95,제주특별자치도,서귀포시,어린왕자감귤밭,제주 서귀포시 추사로36번길 45-1,체험관광,농/산/어촌체험,14492
96,제주특별자치도,제주시,수목원테마파크,제주 제주시 은수길 69-0,기타관광,기타관광,14440
97,제주특별자치도,제주시,골프존카운티 오라,제주 제주시 오라남로 130-16,레저스포츠,육상레저스포츠,14341
