순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,아산시,천안아산역,충남 아산시 희망로 100-0,기타관광,교통시설,560219
2,충청남도,천안시 동남구,천안종합버스터미널,충남 천안시 동남구 만남로 43-0,기타관광,교통시설,271638
3,충청남도,천안시 동남구,신세계백화점천안아산점,충남 천안시 동남구 만남로 43-0,쇼핑,백화점,244315
4,충청남도,당진시,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,244222
5,충청남도,예산군,예산상설시장,충남 예산군 형제고개로 967-0,쇼핑,시장,221921
6,충청남도,보령시,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),189301
7,충청남도,천안시 동남구,독립기념관,충남 천안시 동남구 독립기념관로 1-0,문화관광,전시시설,171598
8,충청남도,공주시,동학사,충남 공주시 동학사1로 462-0,역사관광,종교성지,142168
9,충청남도,태안군,꽃지해수욕장,충남 태안군 꽃지해안로 400-0,자연관광,자연경관(하천/해양),140151
10,충청남도,천안시 서북구,갤러리아백화점센터시티점,충남 천안시 서북구 공원로 227-0,쇼핑,백화점,134949
11,충청남도,아산시,퍼스트빌리지,충남 아산시 해위안길 127-0,쇼핑,쇼핑몰,122712
12,충청남도,당진시,당진버스터미널,충남 당진시 밤절로 149-0,기타관광,교통시설,121482
13,충청남도,예산군,수덕사,충남 예산군 수덕사안길 79-0,역사관광,종교성지,117442
14,충청남도,아산시,온양온천역,충남 아산시 온천대로 1496-0,기타관광,교통시설,110887
15,충청남도,서산시,해미읍성,충남 서산시 남문2로 143-0,역사관광,역사유적지,110766
16,충청남도,서산시,서산공용버스터미널,충남 서산시 안견로 190-0,기타관광,교통시설,109243
17,충청남도,공주시,공주종합버스터미널,충남 공주시 신관로 74-0,기타관광,교통시설,94674
18,충청남도,천안시 서북구,모다아울렛천안아산점,충남 천안시 서북구 공원로 196-0,쇼핑,쇼핑몰,94182
19,충청남도,서천군,서천특화시장,충남 서천군 충절로 42-0,쇼핑,시장,89572
20,충청남도,부여군,롯데아울렛부여점,충남 부여군 백제문로 387-0,쇼핑,쇼핑몰,86705
21,충청남도,태안군,만리포해수욕장,충남 태안군 만리포2길 138-0,자연관광,자연경관(하천/해양),85693
22,충청남도,보령시,대천항,충남 보령시,자연관광,자연경관(하천/해양),84205
23,충청남도,공주시,마곡사,충남 공주시 마곡사로 966-0,역사관광,종교성지,83806
24,충청남도,아산시,파라다이스스파도고,충남 아산시 도고온천로 176-1,체험관광,웰니스관광,81777
25,충청남도,서산시,삼길포항,충남 서산시,자연관광,자연경관(하천/해양),79146
26,충청남도,예산군,예당호출렁다리,충남 예산군,기타관광,기타관광,76930
27,충청남도,천안시 동남구,천안중앙시장,충남 천안시 동남구 사직로 7-0,쇼핑,시장,72382
28,충청남도,논산시,논산역,충남 논산시 해월로 236-12,기타관광,교통시설,70369
29,충청남도,공주시,공산성,충남 공주시 웅진로 280-0,역사관광,역사유적지,69879
30,충청남도,보령시,무창포해수욕장,충남 보령시 열린바다1길 10-0,자연관광,자연경관(하천/해양),69070
31,충청남도,서천군,국립생태원,충남 서천군 금강로 1210-0,기타관광,기타관광,67657
32,충청남도,당진시,장고항,충남 당진시 장고항로 334-0,자연관광,자연경관(하천/해양),66663
33,충청남도,보령시,대천항수산시장,충남 보령시 대천항로 334-0,쇼핑,시장,64393
34,충청남도,아산시,외암리민속마을,충남 아산시 외암민속길 42-7,역사관광,역사유적지,62137
35,충청남도,태안군,태안공영버스터미널,충남 태안군 동백로 304-0,기타관광,교통시설,60639
36,충청남도,아산시,현충사,충남 아산시 현충사길 48-0,역사관광,역사유적지,60423
37,충청남도,아산시,신정호수공원,충남 아산시,문화관광,도시공원,60307
38,충청남도,아산시,아산시외버스터미널,충남 아산시 번영로 225-0,기타관광,교통시설,59790
39,충청남도,천안시 서북구,천안시농수산물도매시장,충남 천안시 서북구 천안대로 1347-0,쇼핑,시장,57903
40,충청남도,보령시,상화원,충남 보령시 남포방조제로 408-52,문화관광,도시공원,57798
