순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청북도,청주시 흥덕구,오송역,충북 청주시 흥덕구 오송가락로 123-0,기타관광,교통시설,682244
2,충청북도,청주시 청원구,청주국제공항,충북 청주시 청원구 오창대로 980-0,기타관광,교통시설,379281
3,충청북도,청주시 흥덕구,청주시외버스터미널,충북 청주시 흥덕구 풍산로 6-0,기타관광,교통시설,242363
4,충청북도,청주시 흥덕구,현대백화점충청점,충북 청주시 흥덕구 직지대로 308-0,쇼핑,백화점,151410
5,충청북도,단양군,단양구경시장,충북 단양군 도전5길 31-0,쇼핑,시장,131264
6,충청북도,청주시 상당구,청남대,충북 청주시 상당구 청남대길 646-0,기타관광,기타관광,120762
7,충청북도,청주시 흥덕구,롯데아울렛청주점,충북 청주시 흥덕구 2순환로 1004-0,쇼핑,쇼핑몰,113948
8,충청북도,단양군,만천하스카이워크,충북 단양군 옷바위길 10-0,문화관광,랜드마크관광,105302
9,충청북도,충주시,충주공용버스터미널,충북 충주시 봉계1길 49-0,기타관광,교통시설,100463
10,충청북도,청주시 청원구,오창호수공원,충북 청주시 청원구 오창공원로 311-0,문화관광,도시공원,99406
11,충청북도,제천시,청풍호반케이블카,충북 제천시 문화재길 166-0,기타관광,기타관광,94535
12,충청북도,제천시,제천역,충북 제천시 의림대로 1-0,기타관광,교통시설,94533
13,충청북도,청주시 흥덕구,떼제베CC,충북 청주시 흥덕구 동림2길 149-0,레저스포츠,육상레저스포츠,90210
14,충청북도,단양군,도담삼봉,충북 단양군 삼봉로 644-0,기타관광,기타관광,85325
15,충청북도,제천시,의림지,충북 제천시,자연관광,자연경관(하천/해양),82403
16,충청북도,충주시,활옥동굴,충북 충주시 목벌안길 26-0,자연관광,자연생태,76776
17,충청북도,보은군,법주사,충북 보은군 법주사로 405-0,역사관광,종교성지,74505
18,충청북도,청주시 흥덕구,청주고속버스임시터미널,충북 청주시 흥덕구 2순환로 1228-0,기타관광,교통시설,66986
19,충청북도,충주시,대영힐스CC,충북 충주시 성종두담길 114-0,레저스포츠,육상레저스포츠,65953
20,충청북도,충주시,올데이CC,충북 충주시 비내길 189-0,레저스포츠,육상레저스포츠,61374
21,충청북도,단양군,구인사,충북 단양군 구인사길 73-0,역사관광,종교성지,61324
22,충청북도,청주시 상당구,육거리종합시장,충북 청주시 상당구 상당로1번길 17-0,쇼핑,시장,60647
23,충청북도,청주시 상당구,대청댐전망대,충북 청주시 상당구 대청호반로 206-0,문화관광,랜드마크관광,58653
24,충청북도,음성군,레인보우힐스CC,충북 음성군 차생로 168-0,레저스포츠,육상레저스포츠,55968
25,충청북도,청주시 청원구,그랜드CC,충북 청주시 청원구 꽃화산길 51-20,레저스포츠,육상레저스포츠,55107
26,충청북도,단양군,고수동굴,충북 단양군 고수동굴길 8-0,자연관광,자연생태,52128
27,충청북도,충주시,충주역,충북 충주시 충원대로 539-0,기타관광,교통시설,50647
28,충청북도,음성군,진양밸리골프클럽,충북 음성군 금일로 1195-0,레저스포츠,육상레저스포츠,49612
29,충청북도,충주시,센테리움CC,충북 충주시 솔고개로 750-0,레저스포츠,육상레저스포츠,49230
30,충청북도,충주시,임페리얼레이크CC,충북 충주시 다래울길 52-0,레저스포츠,육상레저스포츠,49220
31,충청북도,진천군,아난티 중앙 골프클럽,충북 진천군 배티로 818-105,레저스포츠,육상레저스포츠,48571
32,충청북도,진천군,히든밸리GC,충북 진천군 소토골길 61-0,레저스포츠,육상레저스포츠,47125
33,충청북도,진천군,진천종합터미널,충북 진천군 중앙북1길 3-0,기타관광,교통시설,46646
34,충청북도,충주시,시그너스CC,충북 충주시 중방곡길 57-44,레저스포츠,육상레저스포츠,45946
35,충청북도,청주시 상당구,상당산성,충북 청주시 상당구 성내로124번길 14-0,역사관광,역사유적지,44924
36,충청북도,충주시,동촌GC,충북 충주시 감노로 1327-0,레저스포츠,육상레저스포츠,44847
37,충청북도,음성군,감곡CC,충북 음성군 오갑길 195-0,레저스포츠,육상레저스포츠,44687
38,충청북도,진천군,진천농다리,충북 진천군,역사관광,역사유적지,44521
39,충청북도,충주시,대영베이스CC,충북 충주시 성종두담길 113-0,레저스포츠,육상레저스포츠,44254
40,충청북도,충주시,로얄포레CC,충북 충주시 화치3길 35-0,레저스포츠,육상레저스포츠,44250
41,충청북도,음성군,썬밸리CC,충북 음성군 범말길 49-0,레저스포츠,육상레저스포츠,43329
42,충청북도,청주시 흥덕구,문암생태공원,충북 청주시 흥덕구 무심서로 1097-0,문화관광,도시공원,42649
43,충청북도,음성군,코스카CC,충북 음성군 동음로 318-0,레저스포츠,육상레저스포츠,41864
44,충청북도,제천시,제천중앙시장,충북 제천시 풍양로 108-0,쇼핑,시장,41784
45,충청북도,진천군,골프존카운티진천,충북 진천군 송강로 783-51,레저스포츠,육상레저스포츠,41070
46,충청북도,청주시 서원구,세레니티CC,충북 청주시 서원구 문곡구절골길 235-0,레저스포츠,육상레저스포츠,40182
47,충청북도,증평군,블랙스톤벨포레CC,충북 증평군 벨포레길 346-0,레저스포츠,육상레저스포츠,39958
